Search Rank,Brand,Model,Rating,Number of Ratings
1,Samsung,UN55MU6500FXZA,4.7,202
2,Samsung,UN65MU8500FXZA,4.7,216
3,Samsung,UN65MU6500FXZA,4.7,122
4,Samsung,QN65Q7CAMFXZA,4.9,35
5,Samsung,UN65MU7500FXZA,4.9,68
6,Samsung,UN55MU8500FXZA,4.7,161
7,Samsung,QN55Q7CAMFXZA,4.8,24
8,Samsung,QN75Q8CAMFXZA,4.2,13
9,Samsung,QN65Q8CAMFXZA,4.6,10
10,Samsung,QN55Q8CAMFXZA,4.7,7
11,Samsung,UN65KS9500FXZA,4.8,523
12,Samsung,UN88KS9810FXZA,5,1
